fips,name,count_property,count_fema_sfha,pct_fema_sfha,count_fs_risk_005_year00,pct_fs_risk_005_year00,count_fs_risk_005_year30,pct_fs_risk_005_year30,count_fs_risk_100_year00,pct_fs_risk_100_year00,count_fs_risk_100_year30,pct_fs_risk_100_year30,count_fs_risk_005_year00,pct_fs_risk_005_year00,count_fs_risk_500_year30,pct_fs_risk_500_year30,count_fs_fema_difference_year00,pct_fs_fema_difference_year00,avg_risk_score_all,avg_risk_score_2_10,avg_risk_fsf_100_year00,avg_risk_fsf_005_year0000,avg_risk_score_sfha,avg_risk_score_no_sfha,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
101,Alabama Congressional District 1,431390,45932,10.6,19130,4.4,23239,5.4,75897,17.6,81921,19,90490,21,96897,22.5,29965,6.9,2.37,7.08,8.01,7.4,7.61,1.73,334485,3685,6705,4417,6455,12765,12588,17904,23260,9126
102,Alabama Congressional District 2,442124,20925,4.7,16342,3.7,17357,3.9,42751,9.7,44618,10.1,51953,11.8,54436,12.3,21826,4.9,1.74,6.99,7.91,7.21,5.98,1.52,387679,1918,4195,2577,4577,7148,6322,10013,13408,4287
103,Alabama Congressional District 3,470471,27180,5.8,23053,4.9,25181,5.4,59950,12.7,62693,13.3,71118,15.1,73856,15.7,32770,7,1.96,7.14,7.95,7.33,6.17,1.69,396607,2366,4939,3075,5661,8619,9370,14788,18789,6257
104,Alabama Congressional District 4,503319,19266,3.8,25155,5,26676,5.3,59700,11.9,61914,12.3,71639,14.2,73719,14.6,40434,8,1.93,7.31,8.15,7.46,6.42,1.74,429591,1947,4822,3488,5306,8335,7937,12389,19253,10251
105,Alabama Congressional District 5,371176,18454,5,13573,3.7,14345,3.9,49823,13.4,51478,13.9,62755,16.9,64583,17.4,31369,8.5,1.99,6.67,7.6,6.8,5.75,1.78,306571,2240,5790,3944,6521,9294,9285,11872,11610,4049
106,Alabama Congressional District 6,364522,9850,2.7,13026,3.6,14381,3.9,44628,12.2,46645,12.8,53107,14.6,55137,15.1,34778,9.5,1.95,7.25,8.04,7.43,6.47,1.78,309358,1195,3385,2638,3991,6696,6918,10565,13954,5822
107,Alabama Congressional District 7,430184,40348,9.4,19323,4.5,21314,5,66032,15.3,70207,16.3,83196,19.3,86500,20.1,25684,6,2.19,6.9,7.86,7.08,6.2,1.74,343659,2831,6319,4793,7984,12262,11100,15388,19692,6156
200,Alaska Congressional District (at Large),372298,1911,0.5,16022,4.3,17673,4.7,51308,13.8,54596,14.7,67570,18.1,70908,19,49397,13.3,2.07,6.6,7.66,6.81,5.26,2.16,301351,2991,5432,5893,6643,12716,9280,9993,11729,6270
501,Arkansas Congressional District 1,544792,70198,12.9,26730,4.9,27528,5.1,71321,13.1,73059,13.4,98367,18.1,100317,18.4,1123,0.2,2,6.44,7.59,6.53,4.28,1.65,444302,4194,11390,7514,11053,15541,11970,15008,16394,7426
502,Arkansas Congressional District 2,411240,24966,6.1,11337,2.8,11623,2.8,38561,9.4,39498,9.6,51549,12.5,52507,12.8,13595,3.3,1.71,6.53,7.55,6.61,5.02,1.49,358727,1897,5167,3569,4712,9397,7696,8123,9099,2853
503,Arkansas Congressional District 3,422198,12843,3,10674,2.5,10803,2.6,25969,6.2,26366,6.2,31403,7.4,31895,7.6,13126,3.1,1.46,7.14,7.94,7.21,5.11,1.35,390299,504,2616,1824,2262,4588,3450,5095,7826,3734
504,Arkansas Congressional District 4,537342,41185,7.7,35743,6.7,36238,6.7,68876,12.8,69458,12.9,80686,15,81308,15.1,27691,5.2,1.97,7.39,8.06,7.43,5.36,1.68,456018,1239,4923,3846,5479,8793,8707,16059,24093,8185
401,Arizona Congressional District 1,482471,27198,5.6,9528,2,10639,2.2,56467,11.7,57978,12,85182,17.7,86174,17.9,29269,6.1,1.79,5.42,6.69,5.48,3.91,1.67,395666,8841,13979,10618,13576,11071,8564,9592,8389,2175
402,Arizona Congressional District 2,372406,25774,6.9,5406,1.5,5806,1.6,28905,7.8,29865,8,43508,11.7,45096,12.1,3131,0.8,1.54,5.43,6.72,5.56,3.11,1.42,327168,3734,8193,4746,6796,7085,5414,4732,3224,1314
403,Arizona Congressional District 3,319706,19286,6,3501,1.1,3580,1.1,23421,7.3,24219,7.6,34603,10.8,35701,11.2,4135,1.3,1.5,5.42,6.43,5.54,3.28,1.38,283862,2016,5932,4456,6467,7487,3160,2698,2669,959
404,Arizona Congressional District 4,635115,31593,5,11232,1.8,12112,1.9,68499,10.8,71404,11.2,100590,15.8,104333,16.4,36906,5.8,1.78,5.75,7.06,5.9,4,1.67,530373,6961,17037,9722,13319,17832,12614,12389,10993,3875
405,Arizona Congressional District 5,325928,1457,0.4,0,0,1,0,15660,4.8,18975,5.8,72466,22.2,83662,25.7,14203,4.4,1.6,3.36,5.59,3.56,1.86,1.6,242253,26213,29281,12079,7843,5650,1943,562,104,0
406,Arizona Congressional District 6,314097,13689,4.4,734,0.2,884,0.3,15937,5.1,17792,5.7,32676,10.4,38324,12.2,2248,0.7,1.43,4.55,6.76,4.98,1.8,1.42,275753,8282,8797,3283,4256,5525,3546,2837,1610,208
407,Arizona Congressional District 7,205486,3990,1.9,0,0,0,0,4076,2,4919,2.4,18208,8.9,20905,10.2,86,0,1.27,3.67,6.35,3.91,2.34,1.25,184579,4471,8869,2348,1772,2109,679,386,253,20
